"27674","Facebook"
"26626","Eminem"
"25581","YouTube"
"23161","Family Guy"
"22948","Rihanna"
"22230","Harry Potter"
"22162","The Simpsons"
"21583","Music"
"21505","Michael Jackson"
"20768","Lady Gaga"
"20349","Adam Sandler"
"19905","FarmVille"
"19634","Texas Hold'em Poker"
"18415","Lil Wayne"
"17975","Vin Diesel"
"17942","Shakira"
"17923","Disney"
"17765","Katy Perry"
"17669","Coca-Cola"
"17237","Linkin Park"
"17230","The Bible"
"16801","South Park"
"16784","House"
"16697","Bob Marley"
"16600","Megan Fox"
"16573","Skittles"
"15606","Will Smith"
"15489","AKON"
"15292","The Twilight Saga"
"15285","Beyoncé"
"15263","The Hangover"
"15088","Barack Obama"
"14828","Starbucks"
"14726","Usher"
"14403","Oreo"
"14235","Mafia Wars"
"14028","Taylor Swift"
"14019","Two and a Half Men"
"13326","Toy Story"
"13008","Drake"
"12544","SpongeBob SquarePants"
"12412","Avril Lavigne"
"12103","MTV"
"11950","Justin Bieber"
"11849","Dr. House"
"11742","Alicia Keys"
"11740","Metallica"
"11441","成龍 Jackie Chan"
"11374","Victoria's Secret"
"11347","Turn Facebook Pink For 1 Week For Breast Cancer Awareness"
"11239","CityVille"
"11227","Movies"
"11187","causes.com"
"11142","Nicki Minaj"
"11020","NCIS"
"10946","iTunes"
"10925","T.I."
"10853","Enrique Iglesias"
"10823","The Beatles"
"10791","Selena Gomez "
"10758","Black Eyed Peas"
"10683","Family Feud"
"10476","Cristiano Ronaldo"
"10470","Walmart"
"10381","Grey's Anatomy"
"10372","Fresh Prince"
"10124","Nickelback"
"10004","Dirty Dancing"
"9967","Red Bull"
"9749","FrontierVille"
"9668","Chris Brown"
"9622","AC/DC"
"9568","Bon Jovi"
"9564","Mom, mom, mommy, ma, mom, mom, ma, ma, mommy, mommy... WHAT!!... hi!"
"9529","Mr. Bean"
"9453","PlayStation"
"9438","DORY"
"9352","Converse"
"9264","Futurama"
"9217","Pink Floyd"
"9137","Avatar"
"9131","Café World"
"9089","Trey Songz"
"9066","Glee"
"9063","Shrek"
"9001","Jackass"
"8990","50 Cent"
"8976","Converse All Star"
"8962","Paramore"
"8942","Dr Pepper"
"8876","Tyler Perry"
"8856","Jersey Shore"
"8824","Twilight"
"8808","Subway"
"8779","The Big Bang Theory"
"8777","Green Day"
"8652","Titanic"
"8610","How I Met Your Mother"
"8289","Transformers"
"8270","Pringles"
"8236","Kesha"
"8216","Criminal Minds"
"8119","Starburst"
"8025","PetVille"
"8025","Jesus Daily"
"8025","Miley Cyrus"
"7990","Victoria's Secret Pink"
"7932","New Moon"
"7907","Texting"
"7896","Manchester United"
"7819","David Guetta"
"7804","Football"
"7722","FRIENDS (TV Show)"
"7715","Basketball"
"7655","Sleeping"
"7642","Michael Jordan"
"7405","CSI: Miami"
"7381","Jeff Dunham "
"7376","Jay-Z"
"7370","Reese's"
"7324","Disneyland"
"7233","CSI"
"7218","Buddy The Elf"
"7165","Finding Nemo"
"7088","Ashton Kutcher"
"7060","Scrubs"
"7013","Country music"
"6995","Snoop Dogg"
"6965","McDonald's"
"6962","Leo Messi"
"6946","Rock music"
"6871","Games"
"6854","Dancing"
"6850","P!nk"
"6850","Happy Aquarium"
"6849","Evanescence"
"6833","The Notebook"
"6814","Justin Timberlake"
"6801","Queen"
"6798","Camping"
"6777","True Blood"
"6766","Social Interview"
"6733","Zoo World"
"6687","I need a vacation!!!"
"6683","Britney Spears"
"6679","Top Gear"
"6676","Disney Pixar"
"6625","David Beckham"
"6596","Johnny Cash"
"6589","YoVille"
"6585","Taylor Lautner"
"6555","Red Hot Chili Peppers"
"6540","Xbox"
"6540","Bible"
"6520","Monster Energy"
"6484","Kohl's"
"6468","Nirvana"
"6419","I really hate slow computers"
"6411","Guns N' Roses"
"6400","Sachin Tendulkar"
"6391","Wiz Khalifa"
"6387","Taco Bell"
"6386","Kings Of Leon"
"6366","Michelle Obama"
"6315","Friend Buzz"
"6292"," Windows Live Messenger"
"6287","Zynga RewardVille"
"6285","MindJolt Games"
"6250","Carrie Underwood"
